document_id,content
American_Pie.txt,PAN across details in a bedroom...we see discarded
"American_President,_The.txt",each other as friends? It's
American_Psycho.txt,chainsaw in her back.
American_Shaolin__King_of_Kickboxers_II.txt,You will not.
American_Sniper.txt,Your enemy is mine enemy. We share this.
American_Splendor.txt,"Hi, Harvey. We finally meet in person."
American_Werewolf_in_London.txt,about his imagination.
"Amityville_Asylum,_The.txt",clicks on it. She reads:
Amour.txt,herself to look at him.
Analyze_That.txt,"For Chrissake, get hold of yourself!"
Analyze_This.txt,looked much smaller in the store.
Anastasia.txt,Dmitri. I know you would
Angel_Eyes.txt,minutes. But I can...
Anna_Karenina.txt,"INT. DINING ROOM, POKROVSKOE--DAY"
Annie_Hall.txt,Touch my heart ... with your foot.
"Anniversary_Party,_The.txt",It's Shostakovich.
Anonymous.txt,To be but a dream. Like one of your
Anora.txt,Ivan is grabs his phone.
Antitrust.txt,photos on the wall. He takes comfort in their solidity:
Antz.txt,You've had enough for one night!
An_Education.txt,Helen's right. The girls in the group are all bespectacled
"Apartment,_The.txt","and I want a divorce."" It's not"
Apocalypse_Now.txt,I got bored in Saigon.
April_Fool's_Day.txt,"incinerator. Rob steps forward, slowly opening its door, angling the"
Apt_Pupil.txt,"drug dealer... You see, Joey, it doesn't"
Arbitrage.txt,Reconcile what?
Arcade.txt,NICK (O.S.)
Arctic_Blue.txt,"Flashbomb, eh?"
Argo.txt,306 INT. SWISSAIR DC-10 - MENDEZ'S POV - MORNING 306
Armageddon.txt,"Jimbo, Theo and Pearl sit in front of three F.B.I. AGENTS. Two"
Army_of_Darkness.txt,247	EXT. SHED											247
Arsenic_and_Old_Lace.txt,On the veldt !
Arthur.txt,"I'm sorry too. You know, Arthur,"
"Artist,_The.txt","wooden crates, others standing. There are mums with kids,"
Assassins.txt,best and that you planted his ass.
"Assignment,_The.txt",This is Jack Shaw. Could you send a
Asteroid_City.txt,original thirteen colonies. Also: we saw
As_Good_As_It_Gets.txt,Nice of you... thank you.
At_First_Sight.txt,me what was going on?
August__Osage_County.txt,They're just so darn big.
Austin_Powers_-_International_Man_of_Mystery.txt,PEOPLE two-handed handshakes.  They stare like he's a freak.
Austin_Powers_-_The_Spy_Who_Shagged_Me.txt,I'm a big fat slob. I've got bigger
Authors_Anonymous.txt,computer. John talks to the camera.
Autumn_in_New_York.txt,going to be anything material.
Avatar.txt,submissive tone.
"Avengers,_The.txt",Father will be your controller. Steed here
"Avengers,_The_(2012).txt","off. Finally, he brings down his arm, but Thor grabs it and"
Avengers__Endgame.txt,A HUGE TARP flaps over the shuttered LINCOLN CENTER.
"Avventura,_L'_(The_Adventure).txt",Wait for what?
Awakenings.txt,go and nothing much to do.
A_Few_Good_Men.txt,You're the marine.
A_Good_Person.txt,Not really.
A_Million_Miles_Away.txt,the following furrow.
A_Most_Violent_Year.txt,other. Then ABEL glances to the corner of the desk. We see
A_Prayer_Before_Dawn.txt,FIGHT TIME!!
A_Quiet_Place.txt,"jiggles again. Then from his jacket, LEE pulls... a FULLY LIT"
A_Real_Pain.txt,He exits the kiosk and distributes the waters to the group.
A_Scanner_Darkly.txt,Just leave my body alone.
A_Serious_Man.txt,"REB GROSHKOVER stares at her, shocked."
Babel.txt,"Douglas (75), a tall old man with good posture, interjects."
"Bachelor_Party,_The.txt","So what'll I do? I mean, he says,"
Bachelor_Party.txt,I didn't hear you.
"Back-up_Plan,_The.txt",look   how happy I am. I don't even
Backdraft.txt,a fire department uniform.
Badlands.txt,EXT. RICH MAN'S HOUSE
Bad_Boys.txt,weaving. Burnett's hanging onto the handle above the
Bad_Country.txt,"The door unlocks and drags open. Jesse turns, blinking"
Bad_Day_at_Black_Rock.txt,to admire his handiwork...
Bad_Dreams.txt,child. We haven't been able to
Bad_Lieutenant.txt,and he came to die for your sins.
Bad_Santa.txt,the cables off the van and closes the hood. He lights up a
Bad_Teacher.txt,Marbles doesn't even have armpit hair!
Bamboozled.txt,"That Tom, That Negro..."
Barbie.txt,before... what happened here?
Barry_Lyndon.txt,done with my lady?
Barton_Fink.txt,He clomps hurriedly away.
Basic.txt,The Bartender smiles.
Basic_Instinct.txt,"He cups her breasts.  She leans down, kisses him..."
Basquiat.txt,INT. GINA'S APARTMENT - DAY
Batman.txt,INT. VICKI'S APARTMENT - DUSK
Batman_2.txt,This piques BRUCE's interest.  He swivels around in his chair
"Battle_of_Algiers,_The.txt",The bus shelter is nearer and nearer.
"Battle_of_Shaker_Heights,_The.txt",up. But please just get me some paints
Battle__Los_Angeles.txt,My dad's a fireman. They love
"Beach,_The.txt",Bugs does not laugh. He stares at Richard.
Bean.txt,"It wasn't a dream, was it. I have to go in to work and tell them"
Beasts_of_No_Nation.txt,And how much for this treasure?
Beasts_of_the_Southern_Wild.txt,EXT. SHACKO IN THE BACKO - DAY
Beauty_and_the_Beast.txt,Belle fearlessly strides right in front of the wagon. The
Beavis_and_Butt-head_Do_America.txt,"by, unaware."
"Beekeeper,_The.txt",... multiple locations across our
Beginners.txt,Can you toss me my camisole.
Being_Human.txt,"distress, with drink and terror and self pity."
Being_John_Malkovich.txt,pleasant experience. What exactly did
Being_There.txt,... Are you waiting for someone? An
Being_the_Ricardos.txt,wrongdoing? Does the FBI have any
"Believer,_The.txt",Jesus understood this perfectly. And
Belle.txt,Papaa's notes on the ship's log.
Beloved.txt,nursin..needs the mother's milk..
"Best_Exotic_Marigold_Hotel,_The.txt","Not easier, Mummyji. Smaller."
Big.txt,"Uh, that was under the line."
"Big_Blue,_The.txt","room, the apartment, and probably all of ANTIBES."
Big_Eyes.txt,He GRABS for his phone.
Big_Fish.txt,"Wow. Wow, you just said it. I was"
"Big_Lebowski,_The.txt",Not the compromised second draft.
"Big_Sick,_The.txt",everything. I told them about my life. I
"Big_White,_The.txt",day for you.
Birdman.txt,She begins to cry. Her performance is beautiful.
"Birds,_The.txt",is that right?
Birthday_Girl.txt,follows her.
Blackberry.txt,starts in like two minutes. Now's
BlacKkKlansman.txt,Think he got a good look at My Face?
"Black_Dahlia,_The.txt",cross-referenced to each individual being investigated.
Black_Panther.txt,were even .
Black_Rain.txt,"Ich bows to the man, apologizes in Japanese."
Black_Snake_Moan.txt,"on Ronnie's vest, but the tangled vines of a squash plant."
Black_Swan.txt,"He taps a dancer on the shoulder, she lights up. He walks,"
Blade.txt,without any consideration to discomfort -CRACK!- brutally pops it
Blade_II.txt,theirs who claimed he was with the NIH?
Blade_Runner.txt,"How do you do, Mr. Deckard.  Please"
Blade__Trinity.txt,"The Land Cruiser rockets away, disappearing into the night."
"Blast_from_the_Past,_The.txt",up to the surface very slowly.  Make
"Blind_Side,_The.txt",The interrogation is ongoing...
"Bling_Ring,_The.txt",Marc types onto the computer.
Blink_Twice.txt,"Bro, I'm so sorry, bro. You didn't"
Blitz.txt,We don't have a choice love. Look
Blood_and_Wine.txt,He escapes out the door.
Blood_Simple.txt,...How did you cover the money?
Blow.txt,You mad at me?
Blue_Valentine.txt,keeps his distance by the van.
Blue_Velvet.txt,"light is on.  The note is from his mother.  It reads, ""Jeffrey hope you"
Bodyguard.txt,A uniformed chauffeur freezes in his tracks.   Farmer
Body_Heat.txt,"of the magnesium chips is white, blinding. The chips are"
Body_of_Evidence.txt,Dulaney and Cardenas walk over to the bench.
Bones.txt,living room swarm of razor sharp glass.
Bonfire_of_the_Vanities.txt,silence in time for everyone to hear...
Bonnie_and_Clyde.txt,and MALCOLM in the kitchen.  C.W. is scraping the bottom of
Boogie_Nights.txt,mingling around the background. CAMERA DOES A SLOW 360 AROUND THE TABLE.
Bookworm.txt,charged two dollars for.
"Book_of_Eli,_The.txt",and heads toward the sun on the horizon. Headed east.
"Boondock_Saints,_The.txt",kind of an idiot.
Boondock_Saints_2__All_Saints_Day.txt,rollin' with no health insurance! Just
Bottle_Rocket.txt,EXT. COUNTY JAIL. DAY
Bound.txt,"up, how about a drink?"
"Bounty_Hunter,_The.txt","MILO, who has just found what he's looking for. The reindeer"
"Bourne_Identity,_The.txt",BOURNE live. On the street. Bathed in a streetlight. Staring
"Bourne_Ultimatum,_The.txt",forward and slams into the back of Bourne's car. With his
"Box,_The.txt",massive LAWN south of the entrance. During the holidays it is
"Boxtrolls,_The.txt","How strange, how peculiar. No,"
Boyhood.txt,"name, I salivate like a Pavlov dog."
Braveheart.txt,"armed -- bows, pikes, swords. They hear A HORSE'S SNORT..."
Brazil.txt,"is sitting glaring at him. They are stopped, right in"
Break.txt,20.          Cut to shot of telephone.
Breakdown.txt,brand new Nordic Track. There is    a rifle rack across the
"Breakfast_Club,_The.txt",Allison looks up suddenly.
Breaking_Away.txt,All three of them are getting concerned about Mike.
Brick.txt,"car -- ""Sweet Baby James"" by James Taylor.1"
Bridesmaids.txt,(laughing) Thanks a lot.
Bringing_Out_the_Dead.txt,"of the bull, Puerto Rican espresso."
Broadcast_News.txt,As Jane briefly pauses to see which war has room.  Tom opens
Broken_Arrow.txt,pay to get them back? To make
Broken_Embraces.txt,"after Harry, I'll quit the job and stay in Madrid! Or"
"Brothers_Bloom,_The.txt",Bloom watches her play Clash songs on the harp.
Bruce_Almighty.txt,"7 million. That was the asking,"
"Brutalist,_The.txt",Look at him. He cannot say
Buffy_the_Vampire_Slayer.txt,"Buffy!  Hey, what's the sitch?!?"
Bull_Durham.txt,road and stay on his case all year.
Buried.txt,"She sits on her knees. Standing behind her are three men,"
Burlesque.txt,102.7 KIIS FM. Broadcasting from
Burning_Annie.txt,What do you mean?
Burn_After_Reading.txt,Absolutely! Some women don't mind it
"Butterfly_Effect,_The.txt",shrugs at Evan and offers him a roll.
Cable_Guy.txt,I can't. I'm working double shifts the
Candle_to_Water.txt,"Pip lies in her bed. Scared, she hears her parents' voices"
Capote.txt,She walks down the hall to a BEDROOM DOOR at the end. The
Carrie.txt,beaten. The closet is just what every child ever dreaded about the night.
Cars_2.txt,Deploying chute.
Case_39.txt,news. Cooking show. Home shopping network.
Casino.txt,Understand?
Cassandro.txt,"Su corazon ya no aguanto, Saul."
Cast_Away.txt,Going down is even scarier.  It's dusk and the light is flat
Catch_Me_If_You_Can.txt,His name is Detective Julien. He
Cecil_B._Demented.txt,soundtrack builds. HONEY'S CHARACTER takes off down
Cedar_Rapids.txt,No I don't. I'm actually in town
"Cell,_The.txt","She spins around and sees not Stargher King, but MARTIN."
Cellular.txt,Yes!     But I'm not paying for it!
"Change-Up,_The.txt",another woman since college...
Changeling.txt,"Yeah, that always works."
Chaos.txt,COPS block both sides of the bridge!   TV REPORTERS AT EITHER
Charade.txt,"she stares back. Finally, not knowing what else to do, she"
Charlie's_Angels.txt,We've got more important things to do.
Chasing_Amy.txt,credibility we ever had.
Chasing_Sleep.txt,He comes back into the bathroom and looks at the bathtub.
Cherry_Falls.txt,Was Stacy raped?
Chinatown.txt,"Call me Jake. Careful driving home,"
Christ_Complex.txt,"thing. You know the whole ""I'm hiding"
Chronicle.txt,"Yeah, I have a memory for faces."
"Chronicles_of_Narnia__The_Lion,_the_Witch_and_the_Wardrobe.txt",So you knew this would happen?
"Cider_House_Rules,_The.txt","Ain't you eatin' with us, Rose?"
"Cincinnati_Kid,_The.txt",at Turk's Club to Memphis.
Cinema_Paradiso.txt,film they haven't understood.
Cirque_du_Freak__The_Vampire's_Assistant.txt,"A beat. Darren's Dad goes, closing the door. Darren sighs."
Citizen_Kane.txt,"I'm not criticizing, Mr. Carter,"
City_of_Joy.txt,"room and its expectant, trusting faces..."
Clash_of_the_Titans.txt,site in the worship of Jove.
Clerks.txt,better sit down and talk it over.
Cliffhanger.txt,Building is smaller than the Sears Tower. It's still a long
Clueless.txt,Can I use the Pass?
Cobb.txt,"all time, in your opinion?"
Coco.txt,"Go away, you! Go!"
Code_of_Silence.txt,"handsome man emerges. LUIS COMACHO, a cruel and uncompromising"
Cold_Mountain.txt,I'm happy to volunteer.
Collateral_Damage.txt,enough to expose his injured thigh. A bandage covers the
Colombiana.txt,He hands over a check.
Color_of_Night.txt,something broken. I know it's gonna take some time to get
"Color_Purple,_The.txt",Fine with me.
Confessions_of_a_Dangerous_Mind.txt,Do you have it?
Confidence.txt,She had you tempting fate.
Constantine.txt,a wink. Her boyfriend doesn't appreciate it.
"Cooler,_The.txt",TIGHT on Bernie. His expression turns grim. Natalie picks up
Copycat.txt,He gets up and walks toward the door.
Coraline.txt,"What's his name, anyway?"
Coriolanus.txt,"instigating, convincing, imploring."
Corpse_Bride.txt,Victor suddenly has an INSPIRATION.
Cradle_2_the_Grave.txt,"job... Anyway, putting that aside, if"
Crank.txt,He NAILS THE DRIVER BETWEEN THE EYES... the window
Crash.txt,that is recognizably Vaughan's style.
"Crazy,_Stupid,_Love.txt",Cal takes this in.
Crazylove.txt,They say she ordered...Mrs.
Creation.txt,"hard by the wayside. Now, thought"
Crime_Spree.txt,to stay here.
"Croods,_The.txt",Owww! My sniffer!
"Crouching_Tiger,_Hidden_Dragon.txt","wide.  The handle is 1 inch deep,"
Croupier.txt,"Not like Matt, you mean."
"Crow,_The.txt",ANGLE - DARLA AND ELLY AT THE WINDOW.
"Crow_Salvation,_The.txt",Let him go! Let him go!
"Crow__City_of_Angels,_The.txt","EXT. JUDAH'S TOWER, STREET LEVEL - NIGHT"
Cruel_Intentions.txt,"Kathryn nods. Cecile embraces her, happy."
Crying_Game.txt,"house. Fergus leads Jody, still bound and hooded, over toward"
Cube.txt,anything else in here. I was contracted to draw plans for a hollow shell. A cube.
"Curious_Case_of_Benjamin_Button,_The.txt","Benjamin is interested, but the obvious question is..."
Custody.txt,pity. You have people that care all
Dallas_Buyers_Club.txt,pile of cash before him. As they lay their cards down:
"Damned_United,_The.txt",Are you sure you're worth it?
Dances_with_Wolves.txt,don't have to talk to me... just
"Danish_Girl,_The.txt",I have my period.
Darkman.txt,"son, LOUIS STRACK JR., a powerfully built, debonair fifty,"
Dark_City.txt,We know of two kinds of memory.
"Dark_Knight_Rises,_The.txt",Wayne looks at Miranda. Intrigued.
Dark_Star.txt,"surf a lot, Talby.  I used to be a"
Date_Night.txt,"Did they, now? That's great."
Dave_Barry's_Complete_Guide_to_Guys.txt,So that means it was...let's see...
Dawn_of_the_Dead.txt,81	 Steve:	NOW WAIT A MINUTE...WE'RE JUST HERE TO REFUEL...
Days_of_Heaven.txt,"Benson drops the hands off at the dormitory, a hundred yards below, a plain clapboard building with a ceiling of exposed joists. Ursula sees Chuck watching them."
Day_of_the_Dead.txt,eat...needing to eat human flesh. You hate
"Day_the_Clown_Cried,_The.txt",church...  he kept right on preaching
"Day_the_Earth_Stood_Still,_The.txt",He has almost reached the underpass. His hand is on the
Deadpool.txt,"Soft spot, remember? But even look in"
Deadpool_&_Wolverine.txt,"hallway. Wade wriggles after him, tugging at his ankle."
Dead_Poets_Society.txt,robe and slippers.
Dear_White_People.txt,had a misunderstanding.
Death_at_a_Funeral.txt,probably didn't even notice him.
Death_to_Smoochy.txt,intensifies as the drama plays out.
"Debt,_The.txt",hard. Then he turns and hurries to the front door...and
Deception.txt,It could've been a prank.
Deep_Cover.txt,"Eddie. Eddie, who was nice to my"
Deep_Rising.txt,So this boat of yours...that's what
"Deer_Hunter,_The.txt",been picking flowers? Fuckin' guy's
Defiance.txt,Reeboynoy shel oylum... Lord of the
"Departed,_The.txt",A CELL DOOR CLOSES. On Billy. Looking like a real criminal.
"Descendants,_The.txt",touched my share of the trust money.
Despicable_Me_2.txt,Aghhh!    Okay...
Detroit_Rock_City.txt,kisses it. He takes her arm and begins kissing his way up to
Devil's_Advocate.txt,"Pays better though, doesn't it?"
Devil_in_a_Blue_Dress.txt,but her name is Daphne.
"Devil_Wears_Prada,_The.txt","jet -- Irv, Armani..."
Die_Hard.txt,Begin your reconnoiter.
Die_Hard_2.txt,Would you mind if we take a look?
Diner.txt,The tocal is... 63.
"Distinguished_Gentleman,_The.txt",Members of Congress.
Disturbia.txt,straight. I thought time would heal
Django_Unchained.txt,called Eskimo Joe?
Dogma.txt,awareness barometer.
Dog_Day_Afternoon.txt,"the front of the bank.  A lot of AD LIB dialogue, but what"
Donnie_Brasco.txt,w an t t he gu ns . T h e mo n ey . A nd
"Doors,_The.txt",including you! You don't like it
Double_Indemnity.txt,I could get your cigars for you. Be
Do_The_Right_Thing.txt,He's self-appointed.
Dragonslayer.txt,Close the main gate! Quick!
Drag_Me_to_Hell.txt,"That's not what happened, is it?"
Dream_Scenario.txt,"him. He follows her lead. Then she starts removing his belt,"
Drive.txt,smiling. We watch from a distance as they talk now.
Drive_Angry.txt,Milton sits up slowly. Bones CREAK. He holds his hand out.
Drop_Dead_Gorgeous.txt,V.F.W. - BACK ROOM - MONTAGE
"Dry_White_Season,_A.txt",handed. Gordon and the cleaner are roughly handled as
Duck_Soup.txt,After a few steps he stops and addresses the boys...
Dumb_and_Dumber.txt,Now you're talking my language. You
Dune.txt,battle....  you have the word bond of a
Dune_Part_One.txt,"around. Ten feet away, the desert mouse stands frozen. For a"
E.T..txt,[The protagonist has the added jeopardy of being abandoned.]
Eagle_Eye.txt,didn't sleep?
Eastern_Promises.txt,sees the extent of Nikolai's body tattoos and reacts....
Easy_A.txt,She smiles through her tears.
Edward_Scissorhands.txt,"some huge house, isn't it? Thank goodness for"
Ed_TV.txt,He's BALANCING a BAR STOOL on his forehead.
Ed_Wood.txt,EXT. MOTEL - SAME TIME
Eight_Legged_Freaks.txt,"down."" Bret slides his hand up Ashley's        shirt. Ashley"
Election.txt,"Okay, Jim. I understand."
Elemental.txt,Sounds like a challenge.
"Elephant_Man,_The.txt",anointest my head with oil...
Elizabeth__The_Golden_Age.txt,any; but they do not cheer or wave. There's something
Elvis.txt,INT. NBC STUDIOS - CONTROL ROOM - CONTINUOUS ACTION
Enemy_of_the_State.txt,against Zavitz. Red-flag the
"English_Patient,_The.txt",197	INT.    THE PATIENT'S ROOM.    EVENING.
Enough.txt,And they're oblivious of him...
Entrapment.txt,Mac's head APPEARS above the rail.  Just where they spit.  Not a
Erik_the_Viking.txt,"The Vikings look at each other, feeling they haven't quite understood."
Erin_Brockovich.txt,Erin has no patience for this today.
Escape_From_L.A..txt,"Oh, man... You didn't have to hit me,"
Escape_From_New_York.txt,"jacket, bluejeans, and boots.  He looks TOUGH.  He sends Weirdo to knock"
Eternal_Sunshine_of_the_Spotless_Mind.txt,Joel looks out the window.  Carrie turns around and says
Event_Horizon.txt,EXT. EVENT HORIZON - AGAINST NEPTUNE - MODEL STARCK'S POV
Even_Cowgirls_Get_the_Blues.txt,am here on Siwash Ridge. I accepted
Evil_Dead.txt,with it a few steps away. She stands comparing it to
Evil_Dead_II__Dead_by_Dawn.txt,her back down into the cellar. The trap door shuts.
Excalibur.txt,that is unexpected.
Extract.txt,Cindy acts like he's being silly. There's nothing about her
Ex_Machina.txt,and I have shared. Something to
"Fabulous_Baker_Boys,_The.txt",down on your cigarette.
Face_Off.txt,"the Lamb of God.""  Clergy and lay persons listen"
FairyTale__A_True_Story.txt,motioning them over to the lorry.
Fair_Game.txt,It says you're a CIA agent.
"Family_Man,_The.txt",that way...
Fantastic_Beasts_and_Where_to_Find_Them.txt,background.
Fantastic_Beasts__The_Crimes_of_Grindelwald.txt,JACOB reaches the tomb. A stone raven on the lintel.
Fantastic_Beasts__The_Secrets_of_Dumbledore.txt,2   EXT. STATION - MOMENTS LATER - DAY                                                   2
Fantastic_Four.txt,"TOWARD one car: three doors pop open, and out come..."
Fantastic_Mr_Fox.txt,"and barking, the pantry door slamming, Mrs. Bean and her"
Fargo.txt,Hold; fade out.
Fast_Times_at_Ridgemont_High.txt,Hey! He's gonna scratch my
Fatal_Instinct.txt,Ned steps in... splashes some water on his face. Laura grabs
"Fault_in_Our_Stars,_The.txt",So how should we proceed?
Fear_and_Loathing_in_Las_Vegas.txt,Something ugly had happened.  I was
Feast.txt,Now who else is comin'?
Ferrari.txt,"DE PORTAGO pulls off his gloves, pissed. COLLINS accelerates"
Ferris_Bueller's_Day_Off.txt,"Come on, Ferris, answer his question."
Field_of_Dreams.txt,"'If you build it, he will come.'"
"Fifth_Element,_The.txt",ignored his mother... when I think of all I
"Fighter,_The.txt",The Fighter 8/28/09 GREEN DRAFT 14.
Fight_Club.txt,She didn't call Tyler.  I'm neutral
Final_Destination.txt,"CAMERA PUSHES IN ON Alex, relieved and thankful, as he turns to her..."
Final_Destination_2.txt,before. I...
Finding_Nemo.txt,"Hey, have you seen my dad?"
First_Cow.txt,"and reverence,."
Five_Easy_Pieces.txt,any objective discussion. But keep
Flash_Gordon.txt,fairest of Mongo. Then they dared to
Fletch.txt,her out of the room.
Flight.txt,get outta here...hopefully
"Flintstones,_The.txt",Did I ever?
Flora_and_Son.txt,the time. The crack youse had!
Foe.txt,"smile, but, surprisingly, they don't speak."
Forrest_Gump.txt,"""Happy Face."""
Four_Feathers.txt,"It's hard to talk like this with anyone else. They all want to know how many people you've killed, but the moment you mention the friends you've lost, their eyes glaze over."
Four_Rooms.txt,in Salem? I don't think so...
Foxcatcher.txt,We... consider John...
Fracture.txt,The N.T.S.B. guys are here.
Frances.txt,"open, and Frances storms out. As she does, she trips over an"
Freaked.txt,"Still, nobody seems to see him. They're still watching-"
Freddy_vs._Jason.txt,of his pants.  Murdoch's cheeks bulge out as the
Fred_Claus.txt,Fred grabs the door handle.
"French_Connection,_The.txt",C'mere... C'mere!
Frequency.txt,INT. SULLIVAN HOUSE - STUDY - CONTINUOUS
Freud's_Last_Session.txt,As funny as a hanging.
Friday_the_13th.txt,"Wait, wait!   When I was finding these"
Friday_the_13th_Part_VIII__Jason_Takes_Manhattan.txt,"No answer. She knocks harder...and it creaks open,"
Fright_Night.txt,HURTLING BACKWARD.
Fright_Night_(1985).txt,happened yesterday?
From_Dusk_Till_Dawn.txt,AN OLDER WOMAN tied up and helpless in the trunk.
From_Here_to_Eternity.txt,a right to complain. You've got a
Frozen.txt,His breath blows out of his body in huge plumes of mist.
Frozen_(Disney).txt,FROZEN - J. Lee
Frozen_River.txt,Ray creeps along straining to see out the windshield. The
Fruitvale_Station.txt,it to his ear.
"Fugitive,_The.txt",nightstand set up. She points to door leading up to the
Funny_People.txt,more healthy and charismatic. We can tell it is all a show
G.I._Jane.txt,advance... you need combat training
G.I._Joe__The_Rise_of_Cobra.txt,Scarlett lands several unseen blows on her.
"Game,_The.txt","Look.  That's crazy.  Yes, it's a"
Gamer.txt,picks up the ball and resumes shooting.
Game_6.txt,"were falling in love, remember? I"
Gandhi.txt,"couple of Hindus, two young boys."
Gangs_of_New_York.txt,"Come on, what are you saying? If you don't know us now, you'll know us"
Gang_Related.txt,whole lot better when she's dead.
Garden_State.txt,Just call information. It's been so
Gattaca.txt,A SECOND DETECTIVE tugs the hair of a SECOND PATRON.  Jerome
"Getaway,_The.txt",of a .44. A thick veined hand gently rubs the gun over the
Get_Carter.txt,She closes the door.
Get_Low.txt,152 EXT. BUSH'S SHACK - DAY 152
Get_on_Up.txt,head. Bobby Byrd sits in a chair next to James going over a
Get_Out.txt,Andre turns to face Chris neatly. Andre's voice is completely
Ghost.txt,"Thank you, Rita. I'll be glad to."
Ghostbusters.txt,EXT. MID-TOWN MANHATTAN -- ANGLE ON WERECHICKEN
Ghostbusters_2.txt,into the tub.
"Ghost_and_the_Darkness,_The.txt","WHERE WE ARE- IT'S PATTERSON'S TENT AREA. Patterson, Redbeard,"
Ghost_Rider.txt,metal implement and surface rusts as he passes.
Ghost_Ship.txt,EXT. ARCTIC WARRIOR - LATER - NIGHT
Ghost_World.txt,I know... I still can't get over
"Girl_with_the_Dragon_Tattoo,_The.txt",232   EXT. THE BRIDGE - NIGHT                                 232
Gladiator.txt,On that day... you will be a
Glengarry_Glen_Gross.txt,Did they...
Go.txt,Break was over four minutes ago. Who's up
Godfather.txt,seem worried about Luca.  That
Godfather_Part_II.txt,EXT. THE TROPICANA IN VEGAS - MED. VIEW - DAY
"Godfather_Part_III,_The.txt",T have to have fifty. That`s defw
Gods_and_Monsters.txt,Which ones?  I bring them all.
Godzilla.txt,they make their way to the other side.
Gone_Baby_Gone.txt,INT. SAME - LATER
Gone_in_60_Seconds.txt,Castlebeck takes out a WALKIE ... Barks into it ...
"Good_Girl,_The.txt",What do you mean 'why'? I thought you
Good_Will_Hunting.txt,that I won't love you back. And guess
Gothika.txt,A TEENAGE GIRL stands smack in front of us.      Naked.
Grabbers.txt,"Jumpers mill about, tearing the place asunder. One studies"
"Graduate,_The.txt",Will you bring it in to me?
Grand_Hotel.txt,Is Mr. Preysing in -- I am Doctor
Grand_Theft_Parsons.txt,In a hearse?
Gran_Torino.txt,BULLETS FLY. Walt is struck down. People scream.
"Grapes_of_Wrath,_The.txt",Trees and flowers aroun'.
Gravity.txt,frequency. Please confirm identity.
"Great_Gatsby,_The.txt",bear an enchanted life...
"Green_Mile,_The.txt",My name is Paul Edgecomb. If I'm
Gremlins.txt,see the bank president!
Gremlins_2.txt,"victim's neck and SLASHES a ian 1's arm, driving him back."
"Grifters,_The.txt","Disdainful and hurt, she pushes at the wads of money."
Grosse_Point_Blank.txt,have YEARBOOK PHOTOS. Martin looks at the name tag
Groundhog_Day.txt,sharp mountain cliff.
"Grudge,_The.txt",-- the PHONE BASE.   The cordless phone is missing.
Guardians_of_the_Galaxy_Vol_2.txt,Then why you following us for?!
Hackers.txt,I got a record. I was Zero Cool.
Halloween.txt,meets Shanah in the middle of the room.
Halloween__The_Curse_of_Michael_Myers.txt,Dear God ... Jamie!
Hall_Pass.txt,Rick can't think in this state.
Hancock.txt,Horns stands over Roheim's slumpne ss. Removes a
"Hangover,_The.txt",A perfectly pressed LEBANESE MAN waits behind the front desk.
Hanna.txt,the bed. No one there. Her imagination maybe.
Hannah_and_Her_Sisters.txt,Hannah too much.  I love my wife.
Hannibal.txt,ambitions...
"Happy_Birthday,_Wanda_June.txt","inconspicuous, harmless, meaningless."
Happy_Feet.txt,mind was on other stuff.
Hard_Rain.txt,EXT. ALLEYWAY
Hard_to_Kill.txt,Storm again approaches the Makiwara.
Harold_and_Kumar_Go_to_White_Castle.txt,cool saving that guy's life last night.
"Haunting,_The.txt",Nell is thrilled with this.
He's_Just_Not_That_Into_You.txt,INT. MCCORMICK SPICES CORPORATE HEADQUARTERS - DAY
Heat.txt,armed robbery. Three convictions.
Heathers.txt,a bullhorn to her lips and crackles...
Heavenly_Creatures.txt,"God! Jonty! Jonty-stop it! Go away! We're not playing anymore . . . go on, bugger off!"
Heavy_Metal.txt,closer we sense that something is different.  Fires are
"Hebrew_Hammer,_The.txt",Esther is mortified.
Heist.txt,"ON THE OFFICER ONE, AS HE REACHES INTO THE CAB FOR THE PAPERWORK."
Hellbound__Hellraiser_II.txt,"and tenses in horror, stifling a scream."
Hellboy.txt,crashes through the ceiling. He lands on top of it along
Hellboy_2__The_Golden_Army.txt,carried away...
Hellraiser.txt,she's holding.  His  attack stops.
Hellraiser_3__Hell_on_Earth.txt,Too late.  Pinhead's hand closes around his wrist.
Hellraiser__Deader.txt,looking Conductor. She pushes past him.
Hellraiser__Hellseeker.txt,Trevor's body and get to work. Sage sticks a needle in
"Help,_The.txt",Missus Walters immediately gets it. She bursts out laughing
Henry's_Crime.txt,Henry opens it.
Henry_Fool.txt,pills. See ya.
Her.txt,Theodore is touching himself.
Here_Comes_Peter_Cottontail.txt,"Come on, somebody speak up."
Hesher.txt,"He waits a beat for TJ to respond. TJ is still mad, he says"
Highlander.txt,So now it ends.
Highlander__Endgame.txt,"Legs cycling through empty air, he traces a matching arc directly under the far-flung sword."
High_Fidelity.txt,Eleven-hundred.  That's my lowest
"Hills_Have_Eyes,_The.txt",close to a shelve full of old books...
His_Girl_Friday.txt,slid down the rain-pipe to the street.
Hitchcock.txt,Hitch. Can't you do something like North
"Hitchhiker's_Guide_to_the_Galaxy,_The.txt","What is your name, Earthman?"
"Holdovers,_The.txt",do this. Please.
