Model Adı,Document ID,Benzerlik Skoru,İçerik
word2vec_stemmed_skipgram_window2_dim100,Halloween.txt,0.57523596,meets Shanah in the middle of the room
word2vec_stemmed_skipgram_window2_dim100,Avengers__Endgame.txt,0.6898543,A HUGE TARP flaps over the shuttered LINCOLN CENTER
word2vec_stemmed_cbow_window4_dim100,Manhattan_Murder_Mystery.txt,0.44279122,The camera starts moving around the car
word2vec_stemmed_cbow_window4_dim100,From_Dusk_Till_Dawn.txt,0.057338197,AN OLDER WOMAN tied up and helpless in the trunk
word2vec_stemmed_cbow_window4_dim100,American_Psycho.txt,0.10359061,chainsaw in her back
word2vec_stemmed_cbow_window4_dim100,Rush_Hour.txt,0.029456254,up on the stopped Mercedes
word2vec_stemmed_cbow_window4_dim100,Perfect_Creature.txt,-0.0126604065,Lilly flips the lid on one of the boxes
word2vec_stemmed_skipgram_window4_dim100,Hard_to_Kill.txt,0.69713604,Storm again approaches the Makiwara
word2vec_stemmed_skipgram_window4_dim100,Avengers__Endgame.txt,0.7053772,A HUGE TARP flaps over the shuttered LINCOLN CENTER
word2vec_stemmed_skipgram_window4_dim100,Lincoln.txt,0.81776226,Lincoln watches Clark until the fog's swallowed him up
word2vec_stemmed_skipgram_window4_dim100,15_Minutes.txt,0.65970707,Robert steps off the stool
word2vec_stemmed_cbow_window2_dim300,Omega_Man.txt,0.28929928,I AM LEGEND Screenplay By John William Corrington  First Draft: 6/26/70 Revised: 7/18/70         Property of Walter Seltzer Productions Inc
word2vec_stemmed_cbow_window2_dim300,Manhattan_Murder_Mystery.txt,0.4930582,The camera starts moving around the car
word2vec_stemmed_cbow_window2_dim300,American_Outlaws.txt,0.21655546,"""American Outlaws"" -- by Roderick Taylor and John Rogers                                                            FADE IN:               EXT"
word2vec_stemmed_skipgram_window2_dim300,American_Outlaws.txt,0.74809813,"""American Outlaws"" -- by Roderick Taylor and John Rogers                                                            FADE IN:               EXT"
word2vec_stemmed_skipgram_window2_dim300,Omega_Man.txt,0.61294186,I AM LEGEND Screenplay By John William Corrington  First Draft: 6/26/70 Revised: 7/18/70         Property of Walter Seltzer Productions Inc
word2vec_stemmed_skipgram_window2_dim300,Made.txt,0.721309,"""Made"" -- by Jon Favreau                                                            MADE               INT"
word2vec_stemmed_cbow_window4_dim300,Manhattan_Murder_Mystery.txt,0.33464113,The camera starts moving around the car
word2vec_stemmed_cbow_window4_dim300,From_Dusk_Till_Dawn.txt,0.08302093,AN OLDER WOMAN tied up and helpless in the trunk
word2vec_stemmed_cbow_window4_dim300,Omega_Man.txt,0.17158696,I AM LEGEND Screenplay By John William Corrington  First Draft: 6/26/70 Revised: 7/18/70         Property of Walter Seltzer Productions Inc
word2vec_stemmed_cbow_window4_dim300,Rush_Hour.txt,0.15645865,up on the stopped Mercedes
word2vec_stemmed_cbow_window4_dim300,Pirates_of_the_Caribbean__Dead_Man's_Chest.txt,0.2165676,"terrible beastie off the hunt, eh"
word2vec_stemmed_skipgram_window4_dim300,Avengers__Endgame.txt,0.5810702,A HUGE TARP flaps over the shuttered LINCOLN CENTER
word2vec_stemmed_skipgram_window4_dim300,15_Minutes.txt,0.5726644,Robert steps off the stool
word2vec_stemmed_skipgram_window4_dim300,Lincoln.txt,0.76484203,Lincoln watches Clark until the fog's swallowed him up
word2vec_stemmed_skipgram_window4_dim300,Halloween.txt,0.60065264,meets Shanah in the middle of the room
